,Accepted_binomial,Family,Genus,Species,Clade,Lifeform,Pollination,Fruit_type,Seed_mass,Dormancy,Ecological_breadth,Conservation,Restoration,Reported_uses,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses,GermData_availability,NTestTemp,a,b,c,Topt,Logit.Max,Model.Max,Topt.upp,Topt.low,Tmax,Tmin,Tbreadth,Toptbreadth,SEmax,SEmin,SEopt.upp,SEopt.low,SEopt,SEbreadth,SEoptbreadth,Tmean_count,Model_concavity,Tail_drop,GermData_quality
403,Crocus minimus,Iridaceae,Crocus,minimus,Monocots,perennial,Biotic,dry_dehiscent,5.08872,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,Crocus sieberi,Iridaceae,Crocus,sieberi,Monocots,perennial,Biotic,dry_dehiscent,5.08872,NoInfo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,Crocus veluchensis,Iridaceae,Crocus,veluchensis,Monocots,perennial,Biotic,dry_dehiscent,5.08872,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,Crucianella latifolia,Rubiaceae,Crucianella,latifolia,Lamiids,annual,Biotic,dry_dehiscent,0.7803,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
407,Crucianella maritima,Rubiaceae,Crucianella,maritima,Lamiids,perennial,Biotic,dry_dehiscent,1.872,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,-0.01416512,0.410053687,-1.723120731,14.47406312,1.244450745,0.776337781,18.33656057,10.61156566,31.67053413,-2.72240789,34.39294202,7.724994911,3.542789318,5.886008281,7.718912594,8.136846209,1.922569741,8.922320417,15.38813368,5,1,1,1
408,Cruciata glabra,Rubiaceae,Cruciata,glabra,Lamiids,perennial,Biotic,dry_indehiscent,1.43,NoInfo,2,0,1,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,Cruciata taurica,Rubiaceae,Cruciata,taurica,Lamiids,perennial,Biotic,dry_dehiscent,9.736311111,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,Cuscuta palaestina,Convolvulaceae,Cuscuta,palaestina,Lamiids,annual,Biotic,fleshy,1.431505227,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,Cutandia maritima,Poaceae,Cutandia,maritima,Commelinid-monocots,annual,Abiotic,dry_indehiscent,1.001866667,NoInfo,2,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,Cyclamen cilicium,Primulaceae,Cyclamen,cilicium,Asterids,perennial,Biotic,fleshy,7.271048095,PD,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,Cyclamen persicum,Primulaceae,Cyclamen,persicum,Asterids,perennial,Biotic,fleshy,8.295,PD,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,Cyclamen purpurascens,Primulaceae,Cyclamen,purpurascens,Asterids,perennial,Biotic,dry_dehiscent,4.6,PD,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,Cynanchica aristata,Rubiaceae,Cynanchica,aristata,Lamiids,perennial,Biotic,dry_dehiscent,0.820333333,NoInfo,2,0,1,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,Cynanchica idaea,Rubiaceae,Cynanchica,idaea,Lamiids,perennial,Biotic,dry_dehiscent,0.902693333,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,Cynanchica oetaea,Rubiaceae,Cynanchica,oetaea,Lamiids,perennial,Biotic,dry_dehiscent,0.902693333,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,Cynanchica pyrenaica,Rubiaceae,Cynanchica,pyrenaica,Lamiids,perennial,Biotic,dry_dehiscent,0.827733333,NoInfo,2,0,1,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,Cynanchum acutum,Apocynaceae,Cynanchum,acutum,Lamiids,perennial,Biotic,dry_dehiscent,4.90375,NoInfo,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,Cynara cardunculus,Asteraceae,Cynara,cardunculus,Campanulids,perennial,Biotic,dry_indehiscent,34.025,NoInfo,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,Cynodon dactylon,Poaceae,Cynodon,dactylon,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.208121512,PD,6,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
422,Cynoglossum montanum,Boraginaceae,Cynoglossum,montanum,Lamiids,perennial,Biotic,fleshy,18.2322,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,Cynoglottis chetikiana,Boraginaceae,Cynoglottis,chetikiana,Lamiids,perennial,Biotic,fleshy,6.691163461,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,Cynosurus cristatus,Poaceae,Cynosurus,cristatus,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.520136842,NoInfo,2,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,-0.003122412,0.149588911,1.82618329,23.95406349,3.617814424,0.973860346,42.74988157,5.15824542,69.79794638,-21.88981939,91.68776577,37.59163615,62.24152935,28.65429652,38.45153781,6.340037988,17.86843606,90.07235614,41.95604432,14,1,1,1
425,Cynosurus echinatus,Poaceae,Cynosurus,echinatus,Commelinid-monocots,annual,Abiotic,dry_indehiscent,1.5556,NoInfo,2,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,-0.033793278,1.134958733,-6.212439088,16.7926701,3.317054703,0.965009276,22.00455672,11.58078349,30.40472882,3.180611384,27.22411744,10.42377324,2.536300832,1.020501291,0.959050817,1.423856819,1.036247942,3.263931739,1.26453716,7,1,1,1
426,Cyperus capitatus,Cyperaceae,Cyperus,capitatus,Commelinid-monocots,perennial,Biotic,dry_indehiscent,2.0794,NoInfo,3,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,-0.800660398,31.23869748,-315.3051731,19.50808205,-10.60163628,2.48746546828462e-05,19.76119327,19.25497084,NA,NA,NA,0.506222429,NA,NA,1279.45624,3991.781175,1356.167588,NA,5271.232145,5,1,1,1
427,Cytisophyllum sessilifolium,Fabaceae,Cytisophyllum,sessilifolium,Fabids,perennial,Biotic,dry_dehiscent,14.62125,PY(PD),2,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,Cytisus balansae,Fabaceae,Cytisus,balansae,Fabids,perennial,Biotic,dry_dehiscent,7.685975464,PY(PD),1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,Cytisus multiflorus,Fabaceae,Cytisus,multiflorus,Fabids,perennial,Biotic,dry_dehiscent,5.083333333,PY(PD),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,Cytisus scoparius,Fabaceae,Cytisus,scoparius,Fabids,perennial,Biotic,dry_dehiscent,8.932947105,PY(PD),1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,-0.065516724,2.386126528,-18.13462327,18.21005687,3.591126618,0.973172311,22.28105434,14.13905939,28.1977572,8.222356539,19.97540066,8.141994954,NA,NA,NA,NA,NA,NA,NA,4,1,0,0
431,Cytisus striatus,Fabaceae,Cytisus,striatus,Fabids,perennial,Biotic,dry_dehiscent,6.384777778,PY(PD),1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
432,Dactylis glomerata,Poaceae,Dactylis,glomerata,Commelinid-monocots,perennial,Biotic,dry_indehiscent,0.85594252,PD,27,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,-0.033204691,1.282562209,-9.622995146,19.31296683,2.762045554,0.940590044,23.68400441,14.94192924,32.42242064,6.203513016,26.21890762,8.742075171,1.083688999,0.731811336,0.808019814,0.597057646,0.4111622,1.656394257,1.158676091,27,1,1,1
433,Dactylis smithii,Poaceae,Dactylis,smithii,Commelinid-monocots,perennial,Biotic,dry_indehiscent,0.85594252,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,Dactylorhiza elata,Orchidaceae,Dactylorhiza,elata,Monocots,perennial,Biotic,dry_dehiscent,0.005597333,NoInfo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,Dactylorhiza majalis,Orchidaceae,Dactylorhiza,majalis,Monocots,perennial,Biotic,dry_dehiscent,0.0041,NoInfo,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,Danthonia decumbens,Poaceae,Danthonia,decumbens,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,1.439375,PD,1,0,1,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,Daphne blagayana,Thymelaeaceae,Daphne,blagayana,Malvids,perennial,Biotic,fleshy,59.93599187,PD,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,Daphne gnidium,Thymelaeaceae,Daphne,gnidium,Malvids,perennial,Biotic,fleshy,6.6892,PD,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,Daphne laureola,Thymelaeaceae,Daphne,laureola,Malvids,perennial,Biotic,fleshy,35.6,PD,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,Daphne mezereum,Thymelaeaceae,Daphne,mezereum,Malvids,perennial,Biotic,fleshy,80.91428571,PD,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,Daphne oleoides,Thymelaeaceae,Daphne,oleoides,Malvids,perennial,Biotic,fleshy,10.23236667,PD,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,Dasypyrum villosum,Poaceae,Dasypyrum,villosum,Commelinid-monocots,annual,Abiotic,dry_indehiscent,6.992727273,NoInfo,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
443,Daucus carota,Apiaceae,Daucus,carota,Campanulids,perennial,Biotic,dry_indehiscent,1.028713618,M(P)D,9,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,-0.014992753,0.481430519,-1.80212273,16.05544102,2.062666922,0.887221297,21.10972343,11.00115861,34.33024373,-2.219361692,36.54960542,10.10856482,4.196886952,2.626097616,2.587607476,2.600974291,1.553442078,6.274373945,4.155578211,6,1,1,1
444,Daucus edulis,Apiaceae,Daucus,edulis,Campanulids,perennial,Biotic,dry_indehiscent,2.822640731,M(P)D,1,1,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,Daucus pumilus,Apiaceae,Daucus,pumilus,Campanulids,annual,Biotic,dry_indehiscent,2.822640731,M(P)D,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,Deschampsia cespitosa,Poaceae,Deschampsia,cespitosa,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.256593066,PD,3,0,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,Deschampsia media,Poaceae,Deschampsia,media,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.136666667,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,Dianthus biflorus,Caryophyllaceae,Dianthus,biflorus,Caryophyllales,perennial,Biotic,dry_dehiscent,0.902090674,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,Dianthus crinitus,Caryophyllaceae,Dianthus,crinitus,Caryophyllales,perennial,Biotic,dry_dehiscent,0.947,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,Dianthus langeanus,Caryophyllaceae,Dianthus,langeanus,Caryophyllales,perennial,Biotic,dry_dehiscent,0.8492,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,Dianthus nudiflorus,Caryophyllaceae,Dianthus,nudiflorus,Caryophyllales,annual,Biotic,dry_dehiscent,0.302,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
452,Dianthus pungens,Caryophyllaceae,Dianthus,pungens,Caryophyllales,perennial,Biotic,dry_dehiscent,1.0248,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,Dianthus recticaulis,Caryophyllaceae,Dianthus,recticaulis,Caryophyllales,perennial,Biotic,dry_dehiscent,0.0788,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,Dianthus sylvestris,Caryophyllaceae,Dianthus,sylvestris,Caryophyllales,perennial,Biotic,dry_dehiscent,0.514666667,NoInfo,3,0,1,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,0.099922425,-4.820874416,55.76190651,24.12308565,-2.385276712,0.084302333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,1,0
455,Dianthus tymphresteus,Caryophyllaceae,Dianthus,tymphresteus,Caryophyllales,perennial,Biotic,dry_dehiscent,0.902090674,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,Dianthus viscidus,Caryophyllaceae,Dianthus,viscidus,Caryophyllales,perennial,Biotic,dry_dehiscent,0.902090674,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,Dianthus zonatus,Caryophyllaceae,Dianthus,zonatus,Caryophyllales,perennial,Biotic,dry_dehiscent,0.902090674,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,Digitalis cariensis,Plantaginaceae,Digitalis,cariensis,Lamiids,perennial,Biotic,fleshy,0.249815802,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,Digitalis laevigata,Plantaginaceae,Digitalis,laevigata,Lamiids,perennial,Biotic,fleshy,0.249815802,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
460,Digitalis purpurea,Plantaginaceae,Digitalis,purpurea,Lamiids,perennial,Biotic,dry_dehiscent,0.086264822,PD,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0.005550921,-0.230557542,5.375942569,20.76750213,2.98189045,0.95174926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27456456,NA,NA,8,0,1,0
461,Dioscorea communis,Dioscoreaceae,Dioscorea,communis,Monocots,perennial,Biotic,fleshy,17.67827273,PD,4,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
462,Diplotaxis virgata,Brassicaceae,Diplotaxis,virgata,Malvids,annual,Biotic,dry_dehiscent,0.217076923,PD,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,Dittrichia viscosa,Asteraceae,Dittrichia,viscosa,Campanulids,perennial,Biotic,dry_indehiscent,0.442023077,NoInfo,5,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
464,Doronicum caucasicum,Asteraceae,Doronicum,caucasicum,Campanulids,perennial,Biotic,dry_indehiscent,0.9129,NoInfo,2,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,Doronicum columnae,Asteraceae,Doronicum,columnae,Campanulids,perennial,Biotic,dry_indehiscent,0.629244444,NoInfo,2,0,1,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,Draba dedeana,Brassicaceae,Draba,dedeana,Malvids,perennial,Biotic,dry_dehiscent,0.150382554,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,Draba muralis,Brassicaceae,Draba,muralis,Malvids,perennial,Biotic,dry_dehiscent,0.058011111,PD,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,Draba verna,Brassicaceae,Draba,verna,Malvids,annual,Biotic,dry_dehiscent,0.024932258,PD,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,Drimia maritima,Asparagaceae,Drimia,maritima,Monocots,perennial,Biotic,fleshy,7.285,M(P)D,3,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,-0.018244953,0.495000069,-2.288423188,13.56539692,1.06901302,0.744409174,16.76895298,10.36184086,28.39698508,-1.266191232,29.66317631,6.407112125,3.850079017,19.83164062,4.796780026,16.8767247,8.702492693,22.65613912,17.68424028,4,1,0,0
470,Drimia pancration,Asparagaceae,Drimia,pancration,Monocots,perennial,Biotic,fleshy,2.324433333,M(P)D,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,Drymocallis corsica,Rosaceae,Drymocallis,corsica,Fabids,perennial,Biotic,fleshy,0.197280586,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
